/Q2 (VDDL=0.4) X,/Q2 (VDDL=0.4) Y,/Q2 (VDDL=0.425) X,/Q2 (VDDL=0.425) Y,/Q2 (VDDL=0.45) X,/Q2 (VDDL=0.45) Y,/Q2 (VDDL=0.475) X,/Q2 (VDDL=0.475) Y,/Q2 (VDDL=0.5) X,/Q2 (VDDL=0.5) Y,/Q2 (VDDL=0.525) X,/Q2 (VDDL=0.525) Y,/Q2 (VDDL=0.55) X,/Q2 (VDDL=0.55) Y,/Q2 (VDDL=0.575) X,/Q2 (VDDL=0.575) Y,/Q2 (VDDL=0.6) X,/Q2 (VDDL=0.6) Y,/Q2 (VDDL=0.625) X,/Q2 (VDDL=0.625) Y,/Q2 (VDDL=0.65) X,/Q2 (VDDL=0.65) Y,/Q2 (VDDL=0.675) X,/Q2 (VDDL=0.675) Y,/Q2 (VDDL=0.7) X,/Q2 (VDDL=0.7) Y,/Q2 (VDDL=0.725) X,/Q2 (VDDL=0.725) Y,/Q2 (VDDL=0.75) X,/Q2 (VDDL=0.75) Y,/Q2 (VDDL=0.775) X,/Q2 (VDDL=0.775) Y,/Q2 (VDDL=0.8) X,/Q2 (VDDL=0.8) Y,/Q2 (VDDL=0.825) X,/Q2 (VDDL=0.825) Y,/Q2 (VDDL=0.85) X,/Q2 (VDDL=0.85) Y,/Q2 (VDDL=0.875) X,/Q2 (VDDL=0.875) Y,/Q2 (VDDL=0.9) X,/Q2 (VDDL=0.9) Y
0,0.8681954225629664,0,0.8581589850071226,0,0.8461969499853793,0,0.8321156774435464,0,0.815667994950821,0,0.79652190049787,0,0.7742114808933364,0,0.7483323675392543,0,0.7168993677920646,0,0.6783542285592415,0,0.6291023850274766,0,0.5667331169391204,0,0.4953867674816481,0,0.4228182761762891,0,0.3565686074052326,0,0.3030588550096219,0,0.2642256262575871,0,0.236540172584914,0,0.2159010287942355,0,0.1997967372340426,0,0.1868087854337117
0.018,0.8668588001736026,0.018,0.8563360133593255,0.018,0.8437466329207727,0.018,0.8288544859285785,0.018,0.8113499444151785,0.018,0.7908051159225926,0.018,0.7665930711997767,0.018,0.7377238999496116,0.018,0.7024737946624313,0.018,0.6577021808827523,0.018,0.5996431235311487,0.018,0.5296510572317333,0.018,0.4549291633801834,0.018,0.3832302085127184,0.018,0.3217445498243477,0.018,0.2752798523636836,0.018,0.2425009511263085,0.018,0.2187880915708764,0.018,0.2007386377818622,0.018,0.1864423997120824,0.018,0.1747941737408639
0.036,0.8653363511178991,0.036,0.8542523555201169,0.036,0.8409323447887018,0.036,0.8250844054881911,0.036,0.806314340282697,0.036,0.7840590134191863,0.036,0.7574589262434255,0.036,0.7250839898689934,0.036,0.6843376136978457,0.036,0.6311193029428747,0.036,0.5639498496866759,0.036,0.4885652946823017,0.036,0.4129064957124704,0.036,0.3443679037641668,0.036,0.2895302638338483,0.036,0.2502984271288238,0.036,0.2226637888064938,0.036,0.2022257065134958,0.036,0.1863786816634204,0.036,0.1736677928587222,0.036,0.1632199283124358
0.05400000000000001,0.8635899283298618,0.05400000000000001,0.8518525277873233,0.05400000000000001,0.8376723973621905,0.05400000000000001,0.8206827728186499,0.05400000000000001,0.800371480059636,0.05400000000000001,0.7759775001154673,0.05400000000000001,0.7462807452515873,0.05400000000000001,0.7091372866278715,0.05400000000000001,0.6607622640084395,0.05400000000000001,0.5976297250595838,0.05400000000000001,0.5230253133954336,0.05400000000000001,0.4448528226848913,0.05400000000000001,0.3706182476394849,0.05400000000000001,0.3075266245459889,0.05400000000000001,0.2605156864537126,0.05400000000000001,0.2278319785234839,0.05400000000000001,0.2044059456635547,0.05400000000000001,0.186693168811512,0.05400000000000001,0.1727432520612184,0.05400000000000001,0.161433905515995,0.05400000000000001,0.1520666247666397
0.07200000000000001,0.8615698191318552,0.07200000000000001,0.8490635972352554,0.07200000000000001,0.8338577489379604,0.07200000000000001,0.8154820267075302,0.07200000000000001,0.7932536451936486,0.07200000000000001,0.7661091300999018,0.07200000000000001,0.732244562933228,0.07200000000000001,0.6883990348017192,0.07200000000000001,0.6301013903200678,0.07200000000000001,0.5576645826511438,0.07200000000000001,0.4783378000347047,0.07200000000000001,0.3998626584656029,0.07200000000000001,0.3294427506950695,0.07200000000000001,0.2738274083165372,0.07200000000000001,0.2347114442542366,0.07200000000000001,0.2074798335369799,0.07200000000000001,0.1874841892289818,0.07200000000000001,0.1720711645705024,0.07200000000000001,0.159772540939402,0.07200000000000001,0.1497099901690497,0.07200000000000001,0.141318899379139
0.09000000000000001,0.8592098776193925,0.09000000000000001,0.845787538122409,0.09000000000000001,0.8293391093593483,0.09000000000000001,0.8092461727618615,0.09000000000000001,0.7845683287286916,0.09000000000000001,0.7537567888580651,0.09000000000000001,0.714045746309399,0.09000000000000001,0.6608882346256708,0.09000000000000001,0.59188497758864,0.09000000000000001,0.5126909944598594,0.09000000000000001,0.4313513879974263,0.09000000000000001,0.354970944618288,0.09000000000000001,0.2908122073011011,0.09000000000000001,0.2438596660401946,0.09000000000000001,0.2117225757431178,0.09000000000000001,0.1888816283111969,0.09000000000000001,0.1717158494053321,0.09000000000000001,0.1582689846232063,0.09000000000000001,0.1474195654529059,0.09000000000000001,0.138471454482308,0.09000000000000001,0.1309645939416496
0.108,0.8564199322416601,0.108,0.8418890541967078,0.108,0.8239056365949615,0.108,0.8016298700950536,0.108,0.7737120790958123,0.108,0.7377912193885288,0.108,0.6896830146725528,0.108,0.6251319404639394,0.108,0.5473033345035087,0.108,0.4643506870868276,0.108,0.3834608184928459,0.108,0.3116766309159358,0.108,0.2559418196055867,0.108,0.2175139132986512,0.108,0.1910599441596674,0.108,0.1717600695515183,0.108,0.1569643400645603,0.108,0.1452163934555065,0.108,0.1356468992951232,0.108,0.1276985552129707,0.108,0.1209942199982468
0.126,0.853073592764039,0.126,0.8371754469846112,0.126,0.8172480646706556,0.126,0.7921032443630459,0.126,0.7597047528593631,0.126,0.716354569143029,0.126,0.6569080328597316,0.126,0.5816124233021273,0.126,0.4981869636367507,0.126,0.4141332240326621,0.126,0.3361200740141749,0.126,0.2715624503812158,0.126,0.2253665101231005,0.126,0.194257035423288,0.126,0.172311760971371,0.126,0.1559099280719837,0.126,0.1431257666046581,0.126,0.1328579998277904,0.126,0.1244244305990544,0.126,0.1173754684509226,0.126,0.1114005595117512
0.144,0.848987930835724,0.144,0.8313616992406894,0.144,0.8088909255834831,0.144,0.779804714618633,0.144,0.7408775621150434,0.144,0.6867997821602333,0.144,0.6150881911084111,0.144,0.5322415291456633,0.144,0.4462143990682904,0.144,0.3634591133100811,0.144,0.2909721414820878,0.144,0.2359136029344707,0.144,0.1987999434865386,0.144,0.1735136360357702,0.144,0.1551702644388833,0.144,0.14117800938056,0.144,0.1301193657737047,0.144,0.121149453426862,0.144,0.1137277911299687,0.144,0.1074896016417325,0.144,0.1021783501992009
0.162,0.8438880534256856,0.162,0.8240061963646427,0.162,0.7980587463928338,0.162,0.7632410743862604,0.162,0.7144937684369147,0.162,0.6472223179151158,0.162,0.5659258299377672,0.162,0.4789734653087867,0.162,0.3928465484220678,0.162,0.3138783941331623,0.162,0.249768520033226,0.162,0.205132532262632,0.162,0.1755567082290263,0.162,0.1548269452704519,0.162,0.1394092605255411,0.162,0.1274473235640507,0.162,0.117881103880017,0.162,0.1100548330308816,0.162,0.1035372130036597,0.162,0.09803105815001321,0.162,0.09332402091500769
