/QB_1 (VDDL=0.4) X,/QB_1 (VDDL=0.4) Y,/QB_1 (VDDL=0.425) X,/QB_1 (VDDL=0.425) Y,/QB_1 (VDDL=0.45) X,/QB_1 (VDDL=0.45) Y,/QB_1 (VDDL=0.475) X,/QB_1 (VDDL=0.475) Y,/QB_1 (VDDL=0.5) X,/QB_1 (VDDL=0.5) Y,/QB_1 (VDDL=0.525) X,/QB_1 (VDDL=0.525) Y,/QB_1 (VDDL=0.55) X,/QB_1 (VDDL=0.55) Y,/QB_1 (VDDL=0.575) X,/QB_1 (VDDL=0.575) Y,/QB_1 (VDDL=0.6) X,/QB_1 (VDDL=0.6) Y,/QB_1 (VDDL=0.625) X,/QB_1 (VDDL=0.625) Y,/QB_1 (VDDL=0.65) X,/QB_1 (VDDL=0.65) Y,/QB_1 (VDDL=0.675) X,/QB_1 (VDDL=0.675) Y,/QB_1 (VDDL=0.7) X,/QB_1 (VDDL=0.7) Y,/QB_1 (VDDL=0.725) X,/QB_1 (VDDL=0.725) Y,/QB_1 (VDDL=0.75) X,/QB_1 (VDDL=0.75) Y,/QB_1 (VDDL=0.775) X,/QB_1 (VDDL=0.775) Y,/QB_1 (VDDL=0.8) X,/QB_1 (VDDL=0.8) Y,/QB_1 (VDDL=0.825) X,/QB_1 (VDDL=0.825) Y,/QB_1 (VDDL=0.85) X,/QB_1 (VDDL=0.85) Y,/QB_1 (VDDL=0.875) X,/QB_1 (VDDL=0.875) Y,/QB_1 (VDDL=0.9) X,/QB_1 (VDDL=0.9) Y
0.18,0.8987523687991584,0.18,0.8987523688386785,0.18,0.8987523688582022,0.18,0.8987523688686155,0.18,0.8987523688748493,0.18,0.8987523688791283,0.18,0.8987523688824547,0.18,0.8987523688852794,0.18,0.8987523688878075,0.18,0.898752368890134,0.18,0.8987523688923048,0.18,0.8987523688943445,0.18,0.8987523688962676,0.18,0.8987523688980847,0.18,0.8987523688998044,0.18,0.8987523689014345,0.18,0.8987523689029836,0.18,0.8987523689044614,0.18,0.8987523689058798,0.18,0.8987523689072552,0.18,0.89875236890861
0.1980000000000001,0.8979303658187907,0.1980000000000001,0.8979303658620046,0.1980000000000001,0.897930365883354,0.1980000000000001,0.8979303658947426,0.1980000000000001,0.8979303659015619,0.1980000000000001,0.8979303659062444,0.1980000000000001,0.8979303659098853,0.1980000000000001,0.8979303659129778,0.1980000000000001,0.8979303659157459,0.1980000000000001,0.8979303659182933,0.1980000000000001,0.8979303659206704,0.1980000000000001,0.8979303659229041,0.1980000000000001,0.8979303659250102,0.1980000000000001,0.8979303659270002,0.1980000000000001,0.8979303659288833,0.1980000000000001,0.8979303659306688,0.1980000000000001,0.8979303659323656,0.1980000000000001,0.8979303659339846,0.1980000000000001,0.897930365935539,0.1980000000000001,0.8979303659370467,0.1980000000000001,0.8979303659385329
0.2160000000000001,0.8965705922648892,0.2160000000000001,0.896570592312644,0.2160000000000001,0.896570592336238,0.2160000000000001,0.8965705923488272,0.2160000000000001,0.8965705923563684,0.2160000000000001,0.8965705923615493,0.2160000000000001,0.8965705923655795,0.2160000000000001,0.8965705923690038,0.2160000000000001,0.8965705923720694,0.2160000000000001,0.896570592374891,0.2160000000000001,0.8965705923775242,0.2160000000000001,0.8965705923799985,0.2160000000000001,0.8965705923823316,0.2160000000000001,0.8965705923845363,0.2160000000000001,0.8965705923866228,0.2160000000000001,0.8965705923886012,0.2160000000000001,0.8965705923904816,0.2160000000000001,0.8965705923922763,0.2160000000000001,0.8965705923940002,0.2160000000000001,0.8965705923956735,0.2160000000000001,0.8965705923973247
0.2340000000000001,0.8943214322317797,0.2340000000000001,0.8943214322852593,0.2340000000000001,0.8943214323116844,0.2340000000000001,0.8943214323257894,0.2340000000000001,0.8943214323342448,0.2340000000000001,0.8943214323400586,0.2340000000000001,0.8943214323445845,0.2340000000000001,0.894321432348432,0.2340000000000001,0.8943214323518776,0.2340000000000001,0.8943214323550496,0.2340000000000001,0.89432143235801,0.2340000000000001,0.8943214323607921,0.2340000000000001,0.8943214323634157,0.2340000000000001,0.8943214323658949,0.2340000000000001,0.8943214323682416,0.2340000000000001,0.894321432370467,0.2340000000000001,0.8943214323725831,0.2340000000000001,0.8943214323746034,0.2340000000000001,0.8943214323765455,0.2340000000000001,0.894321432378433,0.2340000000000001,0.8943214323802989
0.2520000000000001,0.8905881216254977,0.2520000000000001,0.8905881216864653,0.2520000000000001,0.8905881217165951,0.2520000000000001,0.8905881217326882,0.2520000000000001,0.8905881217423466,0.2520000000000001,0.890588121748997,0.2520000000000001,0.8905881217541806,0.2520000000000001,0.890588121758591,0.2520000000000001,0.8905881217625429,0.2520000000000001,0.890588121766182,0.2520000000000001,0.8905881217695791,0.2520000000000001,0.890588121772772,0.2520000000000001,0.8905881217757834,0.2520000000000001,0.8905881217786296,0.2520000000000001,0.8905881217813242,0.2520000000000001,0.8905881217838802,0.2520000000000001,0.8905881217863117,0.2520000000000001,0.8905881217886352,0.2520000000000001,0.8905881217908718,0.2520000000000001,0.8905881217930501,0.2520000000000001,0.8905881217952106
0.2700000000000001,0.8843196636054788,0.2700000000000001,0.884319663676816,0.2700000000000001,0.8843196637120806,0.2700000000000001,0.8843196637309374,0.2700000000000001,0.884319663742277,0.2700000000000001,0.8843196637501036,0.2700000000000001,0.8843196637562166,0.2700000000000001,0.8843196637614255,0.2700000000000001,0.8843196637660968,0.2700000000000001,0.8843196637704008,0.2700000000000001,0.8843196637744201,0.2700000000000001,0.8843196637781985,0.2700000000000001,0.8843196637817629,0.2700000000000001,0.8843196637851325,0.2700000000000001,0.8843196637883239,0.2700000000000001,0.884319663791353,0.2700000000000001,0.8843196637942372,0.2700000000000001,0.8843196637969973,0.2700000000000001,0.8843196637996609,0.2700000000000001,0.8843196638022652,0.2700000000000001,0.8843196638048635
0.2880000000000001,0.8734856760416048,0.2880000000000001,0.8734856761287635,0.2880000000000001,0.8734856761718717,0.2880000000000001,0.8734856761949684,0.2880000000000001,0.8734856762089063,0.2880000000000001,0.8734856762185662,0.2880000000000001,0.8734856762261383,0.2880000000000001,0.8734856762326064,0.2880000000000001,0.8734856762384161,0.2880000000000001,0.8734856762437737,0.2880000000000001,0.8734856762487798,0.2880000000000001,0.8734856762534879,0.2880000000000001,0.8734856762579313,0.2880000000000001,0.8734856762621338,0.2880000000000001,0.8734856762661171,0.2880000000000001,0.873485676269902,0.2880000000000001,0.8734856762735127,0.2880000000000001,0.8734856762769788,0.2880000000000001,0.8734856762803404,0.2880000000000001,0.8734856762836531,0.2880000000000001,0.8734856762869964
0.3060000000000002,0.8532028796512396,0.3060000000000002,0.8532028797680439,0.3060000000000002,0.8532028798258794,0.3060000000000002,0.8532028798569897,0.3060000000000002,0.8532028798758922,0.3060000000000002,0.8532028798890976,0.3060000000000002,0.8532028798995199,0.3060000000000002,0.8532028799084646,0.3060000000000002,0.8532028799165219,0.3060000000000002,0.8532028799239648,0.3060000000000002,0.8532028799309271,0.3060000000000002,0.8532028799374809,0.3060000000000002,0.8532028799436715,0.3060000000000002,0.8532028799495344,0.3060000000000002,0.8532028799551011,0.3060000000000002,0.8532028799604068,0.3060000000000002,0.8532028799654933,0.3060000000000002,0.8532028799704161,0.3060000000000002,0.8532028799752519,0.3060000000000002,0.85320287998011,0.3060000000000002,0.8532028799851464
0.3240000000000002,0.8067102331854886,0.3240000000000002,0.80671023337892,0.3240000000000002,0.8067102334750075,0.3240000000000002,0.8067102335272217,0.3240000000000002,0.806710233559483,0.3240000000000002,0.806710233582451,0.3240000000000002,0.8067102336008639,0.3240000000000002,0.8067102336168357,0.3240000000000002,0.8067102336313148,0.3240000000000002,0.8067102336447439,0.3240000000000002,0.8067102336573422,0.3240000000000002,0.8067102336692336,0.3240000000000002,0.8067102336805055,0.3240000000000002,0.8067102336912355,0.3240000000000002,0.8067102337015116,0.3240000000000002,0.8067102337114417,0.3240000000000002,0.8067102337211766,0.3240000000000002,0.8067102337309285,0.3240000000000002,0.8067102337410016,0.3240000000000002,0.8067102337518222,0.3240000000000002,0.8067102337639717
0.3420000000000002,0.6979290999416585,0.3420000000000002,0.697929100127971,0.3420000000000002,0.6979291002216498,0.3420000000000002,0.6979291002741654,0.3420000000000002,0.6979291003081647,0.3420000000000002,0.6979291003335699,0.3420000000000002,0.6979291003547248,0.3420000000000002,0.6979291003735442,0.3420000000000002,0.6979291003908964,0.3420000000000002,0.6979291004072148,0.3420000000000002,0.6979291004227622,0.3420000000000002,0.6979291004377686,0.3420000000000002,0.6979291004524907,0.3420000000000002,0.697929100467279,0.3420000000000002,0.6979291004826323,0.3420000000000002,0.6979291004992493,0.3420000000000002,0.697929100518097,0.3420000000000002,0.6979291005404469,0.3420000000000002,0.6979291005678746,0.3420000000000002,0.6979291006022141,0.3420000000000002,0.6979291006459151
