/Q_2 (VDDL=0.4) X,/Q_2 (VDDL=0.4) Y,/Q_2 (VDDL=0.425) X,/Q_2 (VDDL=0.425) Y,/Q_2 (VDDL=0.45) X,/Q_2 (VDDL=0.45) Y,/Q_2 (VDDL=0.475) X,/Q_2 (VDDL=0.475) Y,/Q_2 (VDDL=0.5) X,/Q_2 (VDDL=0.5) Y,/Q_2 (VDDL=0.525) X,/Q_2 (VDDL=0.525) Y,/Q_2 (VDDL=0.55) X,/Q_2 (VDDL=0.55) Y,/Q_2 (VDDL=0.575) X,/Q_2 (VDDL=0.575) Y,/Q_2 (VDDL=0.6) X,/Q_2 (VDDL=0.6) Y,/Q_2 (VDDL=0.625) X,/Q_2 (VDDL=0.625) Y,/Q_2 (VDDL=0.65) X,/Q_2 (VDDL=0.65) Y,/Q_2 (VDDL=0.675) X,/Q_2 (VDDL=0.675) Y,/Q_2 (VDDL=0.7) X,/Q_2 (VDDL=0.7) Y,/Q_2 (VDDL=0.725) X,/Q_2 (VDDL=0.725) Y,/Q_2 (VDDL=0.75) X,/Q_2 (VDDL=0.75) Y,/Q_2 (VDDL=0.775) X,/Q_2 (VDDL=0.775) Y,/Q_2 (VDDL=0.8) X,/Q_2 (VDDL=0.8) Y,/Q_2 (VDDL=0.825) X,/Q_2 (VDDL=0.825) Y,/Q_2 (VDDL=0.85) X,/Q_2 (VDDL=0.85) Y,/Q_2 (VDDL=0.875) X,/Q_2 (VDDL=0.875) Y,/Q_2 (VDDL=0.9) X,/Q_2 (VDDL=0.9) Y
0,0.006970608125776111,0,0.009737114731385528,0,0.01353650177206094,0,0.01853279563089747,0,0.02480220797354214,0,0.03231596245276228,0,0.04094896012838197,0,0.05050809698324334,0,0.06076999488631055,0,0.0715149416261343,0,0.08254901998629383,0,0.09371262760019922,0,0.1048803414061548,0,0.1159565239084438,0,0.1268697372136712,0,0.137567424713714,0,0.1480113951052767,0,0.1581742094003267,0,0.16803639476868,0,0.1775843484192326,0,0.1868087854337117
0.018,0.004602785801533156,0.018,0.006573981454267607,0.018,0.009381851656464452,0.018,0.01322343958749857,0.018,0.0182398610643246,0.018,0.02448374500462412,0.018,0.03191040702562415,0.018,0.04039120459106846,0.018,0.04974212469142858,0.018,0.05975628926113499,0.018,0.07023582880949993,0.018,0.08100469345260414,0.018,0.09191736864884102,0.018,0.102857766191374,0.018,0.1137355238740634,0.018,0.1244814297721349,0.018,0.1350430513770093,0.018,0.1453809781375588,0.018,0.1554657674615986,0.018,0.165275546991196,0.018,0.1747941737408639
0.036,0.003010261000022859,0.036,0.004384620228341615,0.036,0.006409063938123775,0.036,0.00928680291488587,0.036,0.01319926364114513,0.036,0.01826523631502512,0.036,0.0245159712361201,0.036,0.03189317984383206,0.036,0.04026556220258062,0.036,0.04945664621872481,0.036,0.05927429312106493,0.036,0.06953712924565969,0.036,0.08008433886526804,0.036,0.09078231166404607,0.036,0.1015232809506367,0.036,0.1122220794634794,0.036,0.1228122545138345,0.036,0.1332423666488855,0.036,0.1434727898415614,0.036,0.1534730873938624,0.036,0.1632199283124358
0.05400000000000001,0.001951311136070704,0.05400000000000001,0.002890910454862412,0.05400000000000001,0.004316880456694187,0.05400000000000001,0.006417609186918983,0.05400000000000001,0.009389334614827166,0.05400000000000001,0.01339683117449864,0.05400000000000001,0.01853704113905022,0.05400000000000001,0.02482158951596771,0.05400000000000001,0.03218024901803459,0.05400000000000001,0.04047962191041704,0.05400000000000001,0.04954925725648275,0.05400000000000001,0.05921103331254908,0.05400000000000001,0.06929609003672151,0.05400000000000001,0.07965701101429451,0.05400000000000001,0.09017053038661768,0.05400000000000001,0.1007364116676367,0.05400000000000001,0.1112745114557438,0.05400000000000001,0.1217213892524779,0.05400000000000001,0.1320271029965097,0.05400000000000001,0.142152437921679,0.05400000000000001,0.1520666247666397
0.07200000000000001,0.001255200590135168,0.07200000000000001,0.00188675502782675,0.07200000000000001,0.002870316257215574,0.07200000000000001,0.004366724056581627,0.07200000000000001,0.006564860473277079,0.07200000000000001,0.009652257152917527,0.07200000000000001,0.01377583211716951,0.07200000000000001,0.01901108556401566,0.07200000000000001,0.02535151632442131,0.07200000000000001,0.03271637546843943,0.07200000000000001,0.04097056858307304,0.07200000000000001,0.04994990162243775,0.07200000000000001,0.05948702165306526,0.07200000000000001,0.06942532766538057,0.07200000000000001,0.07962865487608399,0.07200000000000001,0.08998290609395282,0.07200000000000001,0.1003947137112845,0.07200000000000001,0.1107887246100543,0.07200000000000001,0.1211045837333148,0.07200000000000001,0.1312941163194537,0.07200000000000001,0.141318899379139
0.09000000000000001,0.0008021760421799273,0.09000000000000001,0.001220640073342379,0.09000000000000001,0.001886762130956758,0.09000000000000001,0.002929167407900965,0.09000000000000001,0.004514118470726656,0.09000000000000001,0.006829547215173913,0.09000000000000001,0.01005218169524106,0.09000000000000001,0.01430991162254838,0.09000000000000001,0.01965731837664795,0.09000000000000001,0.02607121442836138,0.09000000000000001,0.0334616322312297,0.09000000000000001,0.04169216181986467,0.09000000000000001,0.05060554763096368,0.09000000000000001,0.06004318391729504,0.09000000000000001,0.06985972560154144,0.09000000000000001,0.07992900881434357,0.09000000000000001,0.09014516867621848,0.09000000000000001,0.1004211275450851,0.09000000000000001,0.1106860524555568,0.09000000000000001,0.1208826363515548,0.09000000000000001,0.1309645939416496
0.108,0.0005098487388354713,0.108,0.0007838494366753356,0.108,0.001228037818809699,0.108,0.001940054393022676,0.108,0.003056206591514348,0.108,0.004747525727595446,0.108,0.007198996587178312,0.108,0.01057426424278594,0.108,0.0149812663304197,0.108,0.02045442516907905,0.108,0.02695534424457454,0.108,0.03438622823312623,0.108,0.04261031118365122,0.108,0.05147626312711385,0.108,0.06083454046211482,0.108,0.07054965456817376,0.108,0.08050444568790074,0.108,0.09060050012796259,0.108,0.1007565084562584,0.108,0.1109058695176751,0.108,0.1209942199982468
0.126,0.0003225429288148916,0.126,0.0005002172610284543,0.126,0.0007926093541644203,0.126,0.001270838009764317,0.126,0.002040470906831657,0.126,0.003245634194744771,0.126,0.005060904184984654,0.126,0.0076658552901105,0.126,0.01120882479906858,0.126,0.0157772865744844,0.126,0.02138653729388542,0.126,0.02798452410553278,0.126,0.03546690751948151,0.126,0.04369755411053799,0.126,0.05253093755413456,0.126,0.06182607133141575,0.126,0.07145648676496986,0.126,0.08131319791680668,0.126,0.09130456713295815,0.126,0.1013545753164395,0.126,0.1114005595117512
0.144,0.0002032189040571212,0.144,0.0003175217689870017,0.144,0.0005079531115384665,0.144,0.0008246511601674735,0.144,0.001345751589289928,0.144,0.002185407602222946,0.144,0.00349526728505949,0.144,0.005451633144593026,0.144,0.008225907293554021,0.144,0.01194918597337384,0.144,0.01668846234623609,0.144,0.0224411884996214,0.144,0.02914326710527901,0.144,0.03668489327595921,0.144,0.04493217800905232,0.144,0.05374471568445754,0.144,0.06298987058357647,0.144,0.07254948399383047,0.144,0.08232202674482895,0.144,0.0922220387778496,0.144,0.1021783501992009
0.162,0.0001275575781087864,0.162,0.0002006161230329188,0.162,0.0003235612474449418,0.162,0.0005308437960503105,0.162,0.0008782546597547008,0.162,0.001451821347930477,0.162,0.002374695371235816,0.162,0.003805225654030834,0.162,0.005919068866026598,0.162,0.008876617393476886,0.162,0.0127902787003057,0.162,0.01770704306659982,0.162,0.02360799462399752,0.162,0.03041857365965575,0.162,0.03802522630739021,0.162,0.0462962059975422,0.162,0.0550971410168348,0.162,0.0643030707448259,0.162,0.0738035188890344,0.162,0.08350377631884429,0.162,0.09332402091500769
