/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) Y
0.312,1.190667415913659,0.312,1.19876373295466,0.312,1.198864515388082,0.312,1.124820998627975,0.312,1.148103931795969
0.336,1.184171515757148,0.336,1.197591093784937,0.336,1.19793400668986,0.336,1.079851868827473,0.336,1.125514835771751
0.36,1.173894668975983,0.36,1.195374504354486,0.36,1.196321433283783,0.36,1.003811367450571,0.36,1.09577017084058
0.3840000000000001,1.158038432006441,0.3840000000000001,1.19125295457691,0.3840000000000001,1.193609354112577,0.3840000000000001,0.8487665680823275,0.3840000000000001,1.056334583779141
0.4080000000000001,1.133828628077207,0.4080000000000001,1.183700504535265,0.4080000000000001,1.189198877636723,0.4080000000000001,0.5947277440678871,0.4080000000000001,1.002083345476737
0.4320000000000001,1.096095189267763,0.4320000000000001,1.169943466538159,0.4320000000000001,1.182267583790115,0.4320000000000001,0.3278745049075413,0.4320000000000001,0.9210574445890503
0.4560000000000001,1.032701716869465,0.4560000000000001,1.144228106041595,0.4560000000000001,1.171698441348027,0.4560000000000001,0.1497539996850496,0.4560000000000001,0.787086231080008
0.4800000000000001,0.9029074112955822,0.4800000000000001,1.090768629497908,0.4800000000000001,1.15590905848915,0.4800000000000001,0.08524785067186207,0.4800000000000001,0.5924759752060382
0.5040000000000001,0.6676277866799722,0.5040000000000001,0.9285004212431939,0.5040000000000001,1.132357229798724,0.5040000000000001,0.05601021038468211,0.5040000000000001,0.3802604355302479
0.5280000000000001,0.3948158684524939,0.5280000000000001,0.6130877201912407,0.5280000000000001,1.096304718128026,0.5280000000000001,0.03883127876276189,0.5280000000000001,0.2260815433029838
